Port,Containers,Capacity
1,2771242.251,3528600
2,2638441.669,2638441.669
3,1119420.601,1945000
4,729275.2492,1662400
5,405133.3786,633400
6,574691.9799,1842300
7,521056.07,857200
8,468319.0101,1059300
9,331500.188,579600
10,374392.3317,651800
11,583934.6913,2237400
12,216406.4091,449600
13,216985.3068,913600
14,275088.0415,447000
15,264627.5544,1405000
16,247079.4358,1245300
17,142661.1366,972900
18,200343.5748,789700
19,239391.7308,491700
20,130273.763,130273.763
21,124557.6294,255400
22,151975.6052,151975.6052
23,104739.1669,148000
24,184210.1228,274000
25,117431.5392,503400
26,136869.742,368500
27,82086.50832,162138.1
28,100167.273,217300
29,143215.2276,262800
30,106426.5768,180000
31,80765.97305,80765.97305
32,78417.11081,78417.11081
33,67229.04394,3386900
34,90969.7408,110626.7
35,111614.2825,111614.2825
36,102173.2496,162900
37,88083.63753,367300
38,83593.33701,166200
39,72511.71299,119600
40,55072.78108,445700
41,54189.38485,444200
42,69238.80437,90254.2
43,76209.7331,238554.2
44,61932.82632,61932.82632
45,67053.63397,1012800
46,89598.86279,277500
47,61548.89017,107747.8
48,50433.78379,199200
49,65649.36939,1616000
50,64288.75345,100000
51,53462.87367,255400
52,43957.18,121200
53,60368.6176,74802.9
54,52885.04262,58805.3
55,48400.83711,53700.27005
56,48087.69534,368000
57,31159.43669,237500
58,59967.13,140076
59,35108.04044,50385.2
60,49056.36,49056.36
61,20293.85768,1475000
62,41648.37478,41648.37478
63,47558.78475,85110
64,45308.19,45308.19
65,61527.21029,92684.4
66,34947.12,409700
67,43106.53944,1073600
68,32137.28011,231800
69,35157.36525,294300
70,35476.15796,223700
71,38623.32223,133000
72,33116.46716,306200
73,30023.97401,106200
74,25643.7004,236874.1
75,44794.90757,44794.90757
76,24389.6527,200000
77,23786.98044,344500
78,28925.24332,100000
79,38156.39225,38156.39225
80,31738.25384,35213.29184
81,46943.8,46943.8
82,29092.46972,224700
83,39431.98402,266400
84,34198.36577,59335.9
85,28197.09714,28197.09714
86,25302.77537,45617.6
87,28320.48,28320.48
88,28198.94633,29426.51342
89,23032.96083,41764.2
90,28543.92625,82693.5
91,30316.61818,30316.61818
92,18961.65598,105874.7
93,16998.75119,70836.5
94,20893.19983,20893.19983
95,21257.40614,38920.9
96,13510.77,66713.5
97,16363.85807,53651.8
98,15647.04326,82159.1
99,21762.17761,121318.7
100,22638.2316,23526.8
101,25629.70461,72678.5
102,22912.61359,22912.61359
103,29122.70858,29122.70858
104,14397.73745,148400
105,20306.405,500500
106,20629.865,22888.63969
107,13560.79368,13560.79368
108,24239.73386,28350
109,3849.63,303000
110,12468.27639,64736.9
111,30931.56,140000
112,18385.82965,50000
113,14913.12329,189400
114,20476.64231,22817.3
115,9417.76,9417.76
116,25284.76525,84359
117,11997.89126,17700
118,11863.37981,93161.3
119,14403.80082,17499.66273
120,12549.08013,38268.1
121,22147.02,22147.02
122,21759.74,21759.74
123,14015.31669,41835.9
124,13073.23629,303600
125,7402.48,81129.7
126,17054.81736,72282.6
127,9225.106212,21448.3
128,7390.22,13418
129,14234.22964,14234.22964
130,14887.61115,215300
131,5419.3,22000
132,15783.98,17845.2
133,9460.45998,50000
134,11267.80749,12251.91
135,6603.967746,420000
136,12099.95,76700
137,15416.39475,15416.39475
138,15024.90928,15024.90928
139,12445.53598,76612.7
140,16752.69132,160712.2
141,8676.43,10033.93
142,11238.69396,11238.69396
143,13247.09931,98375.6
144,12916.55748,12916.55748
145,7667.120949,61200
146,8428.687204,16003.4
147,7872.852864,8700.014303
148,12575.07668,12575.07668
149,21025.52,21025.52
150,5271.800707,8013.869388
151,11065.13,18000
152,6512.467008,125000
153,4109.38,7640.64
154,5622.630096,335400
155,6588.109537,236100
156,6799.726569,140603
157,5976.03,13845.9
158,4452.428409,6914.230364
159,35679.98345,43824.4
160,6454.665629,84485.6
161,3440.411591,6789.649636
162,4218.967162,6878.13692
163,6542.171132,6542.171132
164,8270.099593,17928.8
165,5494.230998,256410.2
166,4372.968786,155200
167,3665.995738,5976.633538
168,7703.12,7703.12
169,5901.26764,323635.5
170,6469.068655,216100
171,6423.706588,14888
172,8121.401627,8121.401627
173,5025.589604,5223.27648
174,3398.54,53000
175,2688.08,4872.01
176,2520.733539,4861.362842
177,3028.47,10000
178,332.2323221,425600
179,4208.532125,291290
180,507.27,286900
181,1706.98,184017.3
182,5824.872254,165500
183,6692.397529,159100
184,3416.898288,153600
185,886.996093,152000
186,222.929955,151400
187,2560.528514,126600
188,4859.494554,116030
189,2596.041767,100000
190,3668.1,99460.1
191,3405.359051,91153.3
192,4052.950531,81278.3
193,288.1646682,78234.6
194,2908.52,77314.1
195,1098.319904,76088.3
196,2836.24492,75000
197,6553.09,75000
198,10.81,61716.9
199,751.56,60000
200,259.96,60000
